SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
308449,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P23786,230,1,0,0,0.76065678,false,0,uniprotkb:P23786,0,0,No
308450,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P24539,230,1,0,0,0.76065678,false,0,uniprotkb:P24539,0,0,No
308451,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BUE6,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BUE6,0,0,No
308452,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q8IXM3,230,1,0,0,0.76065678,false,0,uniprotkb:Q8IXM3,0,0,No
308453,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P19367,230,1,0,0,0.76065678,false,0,uniprotkb:P19367,0,0,Yes
308454,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q96I51,230,1,0,0,0.76065678,false,0,uniprotkb:Q96I51,0,0,No
308455,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:O75439,230,1,0,0,0.76065678,false,0,uniprotkb:O75439,0,0,No
308456,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q53H12,230,1,0,0,0.76065678,false,0,uniprotkb:Q53H12,0,0,No
308457,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q7Z6M4,230,1,0,0,0.76065678,false,0,uniprotkb:Q7Z6M4,0,0,No
308458,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q96CB9,230,1,0,0,0.76065678,false,0,uniprotkb:Q96CB9,0,0,Yes
308459,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q7Z2W9,230,1,0,0,0.76065678,false,0,uniprotkb:Q7Z2W9,0,0,No
308460,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q96HS1-2,230,1,0,0,0.76065678,false,0,uniprotkb:Q96HS1-2,0,0,No
308461,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9NP92,230,1,0,0,0.76065678,false,0,uniprotkb:Q9NP92,0,0,No
308462,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P82921,230,1,0,0,0.76065678,false,0,uniprotkb:P82921,0,0,No
308463,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BW92,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BW92,0,0,No
