SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
263350,8.06671646,0,0.12396618,0,1,1,18,false,0,DIP-59925N|uniprotkb:Q9VJ12,5,1,0,0,0.71733134,false,0,DIP-59925N|uniprotkb:Q9VJ12,0,0,No
263351,7.10704506,0,0.14070545,0,1,1,17,false,0,DIP-59922N|uniprotkb:Q09057,5,1,0,0,0.7557182,false,0,DIP-59922N|uniprotkb:Q09057,0,0,Yes
263352,6.1819766,0,0.16176056,0,1,1,16,false,0,DIP-49582N|uniprotkb:Q9Z0Z7,6,1,0,0,0.79272094,false,0,DIP-49582N|uniprotkb:Q9Z0Z7,0,0,No
263353,4.40702016,0.003133170119924,0.22691069,0,6,6,14,false,0,DIP-59920N|refseq:NP_034767|uniprotkb:Q60793,49.83333333,6,0,0,0.86371919,false,0,DIP-59920N|refseq:NP_034767|uniprotkb:Q60793,698876,0.17629362,No
263354,4.51879512,0,0.22129793,1,2,2,14,false,0,DIP-41772N|refseq:NP_062516|uniprotkb:Q920Q2,122.5,2,0,0,0.8592482,false,0,DIP-41772N|refseq:NP_062516|uniprotkb:Q920Q2,0,0.50411523,No
263355,5.51356734,0,0.18137078,0,1,1,15,false,0,DIP-32650N|uniprotkb:O15360,6,1,0,0,0.81945731,false,0,DIP-32650N|uniprotkb:O15360,0,0,No
263356,5.7433408,9.07704539919927e-05,0.17411469,0,2,2,15,false,0,DIP-38781N|uniprotkb:P43403,9,2,0,0,0.81026637,false,0,DIP-38781N|uniprotkb:P43403,11122,0.5,No
263357,6.33930794,0.000167256124740159,0.15774593,0.66666667,4,4,16,false,0,DIP-59914N|refseq:NP_079204|uniprotkb:Q9H668,4.25,4,0,0,0.78642768,false,0,DIP-59914N|refseq:NP_079204|uniprotkb:Q9H668,28348,0.47222222,No
263358,5.41175006,0,0.18478311,0,1,1,15,false,0,DIP-59237N|uniprotkb:Q924H2,14,1,0,0,0.82353,false,0,DIP-59237N|uniprotkb:Q924H2,0,0,No
263359,11.25865073,0,0.08882059,0,3,2,22,false,22,DIP-41043N|uniprotkb:Q92692,3,2,0,0,0.58965397,false,1,DIP-41043N|uniprotkb:Q92692,0,0,No
263360,5.95867563,0.00023192711484842,0.16782253,0.5,4,4,16,false,0,DIP-47434N|uniprotkb:O14773,5.75,4,0,0,0.80165297,false,0,DIP-47434N|uniprotkb:O14773,24008,0.39285714,No
